ticker,asset_class,role,description,priority,notes
SPY,equity_broad,core_equity,US large-cap equity,high,Highly liquid benchmark US equity ETF
VTI,equity_broad,core_equity,US total market equity,high,Broader US equity market representation
QQQ,equity_broad,growth_equity,US growth / Nasdaq 100,medium,Tech and growth tilt
IWM,equity_broad,small_cap_equity,US small-cap equity,medium,Small-cap risk cycle sensitivity
EFA,equity_broad,international_equity,Developed ex-US equity,high,Developed international equity exposure
EEM,equity_broad,emerging_equity,Emerging market equity,medium,Emerging market risk and dollar sensitivity
USMV,equity_defensive,defensive_equity,Minimum volatility equity,medium,Defensive low-risk equity factor
SPLV,equity_defensive,defensive_equity,Low volatility equity,medium,Alternative low-volatility US equity ETF
QUAL,equity_defensive,quality_equity,Quality equity,medium,Quality style tilt
MTUM,equity_defensive,momentum_equity,Momentum equity,medium,Momentum style tilt
VLUE,equity_defensive,value_equity,Value equity,medium,Value style tilt
XLU,equity_defensive,defensive_sector,Utilities defensive sector,medium,Rate-sensitive defensive sector
XLP,equity_defensive,defensive_sector,Consumer staples defensive sector,medium,Defensive consumption sector
XLV,equity_defensive,defensive_sector,Healthcare defensive sector,medium,Defensive healthcare sector
XLF,equity_defensive,cyclical_sector,Financials sector,medium,Curve-sensitive sector exposure
SHY,treasury_duration,short_duration_treasury,1-3 year Treasury,high,Front-end Treasury proxy
IEI,treasury_duration,intermediate_duration_treasury,3-7 year Treasury,high,Intermediate Treasury exposure
IEF,treasury_duration,intermediate_duration_treasury,7-10 year Treasury,high,Intermediate-long Treasury exposure
TLT,treasury_duration,long_duration_treasury,20+ year Treasury,high,Long-duration Treasury benchmark
GOVT,treasury_duration,broad_treasury,Broad US Treasury,medium,Broad Treasury market exposure
EDV,treasury_duration,extended_duration_treasury,Extended duration Treasury,medium,Stripped Treasury / convexity heavy
TIP,inflation_linked,inflation_hedge,TIPS,high,Core inflation-linked Treasury exposure
STIP,inflation_linked,short_inflation_hedge,Short-term TIPS,medium,Short-duration inflation-linked exposure
LQD,credit_bonds,investment_grade_credit,Investment grade corporate bonds,high,Core IG credit exposure
HYG,credit_bonds,high_yield_credit,High yield corporate bonds,high,Core HY spread exposure
JNK,credit_bonds,high_yield_credit,High yield corporate bonds alternative,medium,Alternative HY ETF
VCIT,credit_bonds,intermediate_credit,Intermediate corporate bonds,medium,Intermediate IG credit
VCSH,credit_bonds,short_credit,Short-term corporate bonds,medium,Short-duration IG credit
BIL,cash_short_treasury,cash_equivalent,1-3 month T-bill,high,Cash-like Treasury sleeve
SGOV,cash_short_treasury,cash_equivalent,0-3 month Treasury,high,Very short Treasury cash sleeve
SHV,cash_short_treasury,cash_equivalent,Short Treasury,medium,Alternative cash-like Treasury ETF
DBC,commodities,broad_commodities,Broad commodities,high,Broad commodity basket
GSG,commodities,broad_commodities,S&P GSCI commodities,medium,Energy-heavy commodity basket
USO,commodities,energy_commodity,Crude oil,medium,Oil-sensitive inflation proxy
UNG,commodities,energy_commodity,Natural gas,low,Highly volatile commodity ETF
CPER,commodities,industrial_metal,Copper,medium,Industrial cycle and reflation proxy
DBA,commodities,agriculture,Agriculture,medium,Agricultural commodity basket
GLD,precious_metals,gold,Gold,high,Core gold exposure
GD=F,commodities,commodity_futures_index,S&P-GSCI Commodity Index Future,medium,Commodity futures proxy from Yahoo Finance for regime research
IAU,precious_metals,gold,Gold alternative,medium,Alternative gold ETF with lower fee
SLV,precious_metals,silver,Silver,medium,Precious metal with cyclical tilt
VNQ,real_assets,reits,US REITs,high,Domestic real estate equity
VNQI,real_assets,reits,Global ex-US REITs,medium,International real estate equity
XLE,real_assets,energy_equity,Energy sector,medium,Energy equity inflation sensitivity
XLB,real_assets,materials_equity,Materials sector,medium,Materials / commodity-linked equity
UUP,currency,usd_long,US dollar bullish ETF,medium,USD strength proxy
FXE,currency,eur_fx,Euro ETF,low,EUR exposure proxy
FXY,currency,jpy_fx,Yen ETF,low,JPY safe-haven proxy
DBMF,alternatives,managed_futures,Managed futures,medium,Liquid trend-following / managed futures exposure
KMLM,alternatives,managed_futures,Managed futures,medium,Alternative managed futures ETF
BTAL,alternatives,alternative_defensive,Anti-beta / market neutral style,medium,Defensive equity hedge style
