category,signal,current_value,threshold_name,threshold_value,distance,condition_met,status,interpretation
VIX,VIX Z-score,-0.3920188393066073,entry,3.0,-3.3920188393066075,False,below entry,VIX stress entry is active at or above 3.0 z-score.
VIX,VIX Z-score,-0.3920188393066073,unlock,1.5,-1.8920188393066073,False,unlock not met,VIX lock unlock also requires SPY above MA20.
Credit,Credit 15D change,-0.03000000000000025,entry,0.1,-0.13000000000000025,False,below entry,Credit lock entry also requires SPY below MA20.
Credit,Credit level Z,-1.9763329412454378,unlock,0.9,-2.8763329412454377,True,unlock condition met,Credit unlock also requires SPY above MA50.
SPY trend,SPY vs MA20,741.75,MA20,745.074496459961,-3.324496459960983,False,below MA20,Positive distance means SPY is above MA20.
SPY trend,SPY vs MA50,741.75,MA50,722.8013989257812,18.9486010742188,True,above MA50,Positive distance means SPY is above MA50.
SPY trend,SPY drawdown from previous high,-0.023460651621822648,drawdown monitor,-0.05,0.026539348378177355,False,above drawdown monitor,Drawdown is monitored as context for risk stress.
Regime variables,Term spread boundary,0.6200000000000006,flat->steep threshold,1.2,-0.5799999999999994,False,below steep entry,"Outer macro regime uses hysteresis, not a single 0/1 threshold."
Oil level,Oil price vs 252d MA,0.18365897796621145,HIGH entry,0.2,-0.016341022033788566,False,below HIGH entry,Oil HIGH removes GOLD and DBB from flat sleeves.
Oil level,Oil price vs 252d MA,0.18365897796621145,LOW entry,-0.2,0.38365897796621146,False,above LOW entry,Oil LOW keeps the flat sleeves fully open.
Regime variables,Nearest regime boundary,0.6200000000000006,steep->flat threshold,1.0,-0.37999999999999945,False,away from boundary,Current regime is FLAT_HIGH_RATE; nearest boundary is steep->flat threshold.
